game_ID,Year,Team,Zone,Foot,Keeper,Goal,Penalty_number,Qualif,Elimination,Keeper_moovs,duration_sifflet,duration_ball,arret,,,,
301,2024,SAO,4,R,R,0,1,N,N,N,"4,8","25,5",N,,,,482
301,2024,BOT,1,R,R,1,2,N,N,Y,"6,2","31,8",N,,,,482
301,2024,SAO,6,L,R,1,3,N,N,N,"2,6","20,8",N,,,,482
301,2024,BOT,1,R,R,1,4,N,N,N,3,"13,3",N,,,,482
301,2024,SAO,1,R,L,1,5,N,N,N,"5,5",25,N,,,,482
301,2024,BOT,3,L,L,1,6,N,N,N,3,13,N,,,,482
301,2024,SAO,2,R,L,1,7,N,N,N,"5,3",21,N,,,,482
301,2024,BOT,4,R,L,0,8,N,N,N,"3,9",0,N,,,,482
301,2024,SAO,5,L,R,1,9,N,N,Y,"10,3",0,N,,,,482
301,2024,BOT,2,R,R,1,10,N,Y,Y,2,0,N,,,,482
301,2024,SAO,5,L,R,0,11,N,N,N,"1,8","14,6",Y,,,,482
301,2024,BOT,6,R,L,1,12,Y,N,N,"5,3",0,N,,,,482
302,2024,FLUMINENSE,5,L,L,0,1,N,N,Y,"9,2",0,N,,,,482
302,2024,GREMIO,5,L,L,1,2,N,N,Y,"6,4",0,N,,,,483
302,2024,FLUMINENSE,3,R,L,1,3,N,N,N,6,0,N,,,,483
302,2024,GREMIO,5,R,R,0,4,N,N,N,"5,5",0,Y,,,,483
302,2024,FLUMINENSE,2,R,L,1,5,N,N,N,"6,5",0,N,,,,483
302,2024,GREMIO,1,R,L,1,6,N,N,N,"6,6",0,N,,,,483
302,2024,FLUMINENSE,1,R,R,1,7,N,N,Y,"7,2",0,N,,,,483
302,2024,GREMIO,5,R,R,0,8,N,N,N,"5,6",0,N,,,,483
302,2024,FLUMINENSE,1,R,L,1,9,Y,N,N,"3,8",0,N,,,,483
303,2024,NACIONAL,2,R,R,1,1,N,N,N,"4,1",0,N,,,,484
303,2024,ALWAYSREADY,1,R,R,1,2,N,N,N,"2,2",0,N,,,,484
303,2024,NACIONAL,1,R,L,1,3,N,N,N,"5,1",0,N,,,,484
303,2024,ALWAYSREADY,1,R,R,1,4,N,N,Y,"2,1",0,N,,,,484
303,2024,NACIONAL,1,L,L,0,5,N,N,N,"4,8",0,Y,,,,484
303,2024,ALWAYSREADY,6,L,R,1,6,N,N,Y,"3,3",0,N,,,,484
303,2024,NACIONAL,3,L,R,1,7,N,N,N,"4,3",0,N,,,,484
303,2024,ALWAYSREADY,6,L,R,1,8,N,N,Y,"3,8",0,N,,,,484
303,2024,NACIONAL,1,R,L,1,9,N,N,N,"3,1",0,N,,,,484
303,2024,ALWAYSREADY,5,R,R,1,10,Y,N,N,5,0,N,,,,484
304,2024,NACIONAL,1,R,L,1,1,N,N,N,"2,4",0,N,,,,485
304,2024,PALESTINO,2,R,L,1,2,N,N,N,"6,9","26,5",N,,,,485
304,2024,NACIONAL,6,R,R,0,3,N,N,N,"5,1","16,2",N,,,,485
304,2024,PALESTINO,6,L,L,1,4,N,N,Y,"3,3",23,N,,,,485
304,2024,NACIONAL,1,R,L,0,5,N,N,Y,4,"27,1",N,,,,485
304,2024,PALESTINO,6,L,R,1,6,N,N,N,4,"15,5",N,,,,485
304,2024,NACIONAL,4,R,L,0,7,N,Y,N,"2,3","17,1",N,,,,485
305,2023,BOCA,6,R,R,0,1,N,N,N,31,2,Y,,,,486
305,2023,PALM,5,L,R,0,2,N,N,N,0,12,Y,,,,486
305,2023,BOCA,6,R,L,1,3,N,N,N,15,5,N,,,,486
305,2023,PALM,1,R,L,0,4,N,N,N,9,4,Y,,,,486
305,2023,BOCA,1,L,R,1,5,N,N,N,15,4,N,,,,486
305,2023,PALM,1,R,R,1,6,N,N,N,18,13,N,,,,486
305,2023,BOCA,1,R,R,1,7,N,N,N,11,3,N,,,,486
305,2023,PALM,5,L,R,1,8,N,Y,N,9,4,N,,,,486
306,2023,RAC,2,R,L,1,9,Y,N,N,16,8,N,,,,486
306,2023,BOCA,5,R,R,1,1,N,N,N,18,3,N,,,,487
306,2023,RAC,5,L,R,0,2,N,N,N,8,4,Y,,,,487
306,2023,BOCA,6,R,R,1,3,N,N,N,6,2,N,,,,487
306,2023,RAC,2,L,R,1,4,N,N,N,8,5,N,,,,487
306,2023,BOCA,5,R,L,1,5,N,N,N,12,3,N,,,,487
306,2023,RAC,1,R,L,0,6,N,N,N,15,5,Y,,,,487
306,2023,BOCA,6,L,N,1,7,N,N,N,0,3,N,,,,487
308,2023,BOCA,1,R,R,1,1,N,N,N,20,3,N,,,,487
308,2023,NACIONAL,5,R,R,0,2,N,N,N,18,3,Y,,,,487
308,2023,BOCA,2,R,L,1,3,N,N,Y,43,3,N,,,,487
308,2023,NACIONAL,1,L,L,1,4,N,N,N,14,2,N,,,,487
308,2023,BOCA,3,L,L,1,5,N,N,N,14,1,N,,,,487
308,2023,NACIONAL,1,R,L,0,6,N,N,N,6,3,Y,,,,487
308,2023,BOCA,4,R,L,0,7,Y,N,N,22,3,N,,,,487
308,2023,NACIONAL,5,R,N,1,8,N,Y,N,21,5,N,,,,487
308,2023,BOCA,1,L,R,1,9,Y,N,N,19,2,N,,,,487
307,2023,RIV,5,R,R,1,1,N,N,N,52,3,N,,,,488
307,2023,INTERNACIONAL,6,R,R,1,2,N,N,N,12,3,N,,,,488
307,2023,RIV,1,R,R,1,3,N,N,N,12,4,N,,,,488
307,2023,INTERNACIONAL,5,R,N,1,4,N,N,N,12,3,N,,,,488
307,2023,RIV,6,L,R,1,5,N,N,N,14,8,N,,,,488
307,2023,INTERNACIONAL,6,R,L,1,6,N,N,N,13,5,N,,,,488
307,2023,RIV,1,R,L,1,7,N,N,N,9,2,N,,,,488
307,2023,INTERNACIONAL,6,R,L,1,8,N,N,N,14,8,N,,,,488
307,2023,RIV,5,R,L,1,9,N,N,N,16,5,N,,,,488
307,2023,INTERNACIONAL,6,L,R,1,10,N,Y,N,26,16,N,,,,488